English|OldName|NewName|Basis|NamingSource|CatalogStatus|Formal|SourceType|Usage|Reason|Url
Thunderclap|千鸟流·雷震|千鸟流·地面扩散|千鸟流|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”千鸟流地面扩散|官方手游实际动作|长按千鸟流时，雷电沿地面大范围扩散并持续电击。|“雷震”不是佐助招式；改用手游明确展示的地面扩散方式。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
True Grit|咒印·坚忍|草薙剑·卸力|兄弟之战草薙剑防御动作|限定时期实战动作命名|动作根目录|草薙剑卸力防御（描述性动作）|原作武器体系与官方手游动作|以剑身偏转攻击并舍弃不利手牌，视觉上是简洁卸力。|“咒印·坚忍”只是性格词，不是能力或动作；改为可执行的剑术防御。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Twin Strike|草薙剑·双闪|草薙剑·二连斩|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”地面二连斩|官方手游实际动作|兄弟之战分支普攻明确在地面使用二连斩。|删除“闪”这一效果词，改为实际两段剑击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Ashen Strike|火遁·落火·灰烬追击|火遁·豪火球之术|火遁·豪火球之术|正式招式名原样采用|核心目录|Fire Release: Great Fireball Technique / 火遁・豪火球の術|原作漫画、动画、资料书|以豪火球直接造成伤害；消耗堆增长只影响火势表现，不另造“灰烬追击”。|旧名把消耗堆机制写成佐助没有的追击术；改用正式火遁。|https://naruto.fandom.com/wiki/Fire_Release%3A_Great_Fireball_Technique
Battle Trance|雷光剑化·三器展开|写轮眼·动作预判|写轮眼的动作预判能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（动作预判）|原作漫画、动画、资料书|短时间读取多种后续动作；过度集中对应本回合无法继续抽牌。|“三器”仅来自抽三张牌，属于机械数字硬翻译；改成写轮眼真实能力。|https://naruto-official.com/en/news/01_1316
Bloodletting|咒印·血解|天之咒印·释放|天之咒印|真实状态表现命名|真实能力|Cursed Seal of Heaven / 天の呪印（释放）|原作状态与能力|主动释放咒印，以身体负担换取查克拉。|“血解”不是术语；改成咒印释放这一真实状态过程。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
Bully|瞬·追隙|瞬身·追击斩|兄弟之战瞬身斩击|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”瞬身追击斩|官方手游实际动作|利用写轮眼确认破绽后瞬身贴近并追斩。|旧名压缩成不存在的术名；新名只描述佐助实际完成的移动和斩击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Burning Pact|咒印·献契|白蛇蜕皮|白蛇之力|真实能力表现命名|真实能力|Power of the White Snake / 白蛇の力（蜕皮）|原作漫画、动画与资料设定|舍弃旧躯壳后继续行动，对应消耗一张牌并补充手牌。|佐助没有献祭契约动作；蜕皮是限定时期真实使用的能力。|https://naruto.fandom.com/wiki/Power_of_the_White_Snake
Colossus|写轮眼·见切|写轮眼·攻击看破|写轮眼的动作预判能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（攻击看破）|原作漫画、动画、资料书|看穿已暴露破绽敌人的攻击轨迹，从而降低受到的伤害。|“见切”不是本作正式术语；改成写轮眼确实具备的攻击看破能力。|https://naruto-official.com/en/news/01_1316
Cruelty|写轮眼·死角解析|写轮眼·弱点解析|写轮眼的观察与解析能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（弱点解析）|原作漫画、动画、资料书|持续解析易伤目标的动作与弱点，使后续伤害提高。|“死角”并非卡牌条件；弱点解析更准确对应写轮眼与易伤机制。|https://naruto-official.com/en/news/01_1316
Dismantle|草薙剑·破绽二连斩|草薙剑·破绽追斩|兄弟之战草薙剑连段|限定时期实战动作命名|动作根目录|草薙剑追击斩（描述性动作）|原作武器体系与官方手游动作|第一斩确认目标破绽后，以瞬身补上追斩。|“二连斩”已用于真实普攻；本牌以是否易伤决定第二击，改称追斩更贴近动画逻辑。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Drum of Battle|雷光剑化·忍具阵|雷光剑化·忍具展开|通灵·雷光剑化|限定时期实战动作命名|动作根目录|Summoning: Lightning Flash Blade Creation / 口寄せ・雷光剣化（忍具展开）|原作漫画、动画、资料书|从腕部封印连续取出忍具，表现抽牌与消耗后的查克拉返还。|佐助没有“忍具阵”；“展开”只描述雷光剑化实际召出多件忍具。|https://naruto.fandom.com/wiki/Summoning%3A_Lightning_Flash_Blade_Creation
Evil Eye|大蛇丸流·二重蜕皮|白蛇替身·反击|白蛇之力与替身表现|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”白蛇替身反击|官方手游实际动作|受击时化为白蛇，本体出现在敌后并以千鸟锐枪反击。|“二重蜕皮”只是把额外格挡机械翻倍；改为手游明确展示的替身反击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Expect a Fight|千鸟刀·连击准备|写轮眼·临战预判|写轮眼的动作预判能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（临战预判）|原作漫画、动画、资料书|根据手中攻击手段快速规划连段并获得行动资源。|“连击准备”不是千鸟刀动作；改用佐助真实的战前分析能力。|https://naruto-official.com/en/news/01_1316
Feel No Pain|咒印·痛觉遮断|白蛇之力·卸伤|白蛇之力|真实能力表现命名|真实能力|Power of the White Snake / 白蛇の力（恢复与脱壳）|原作漫画、动画与资料设定|每次舍弃旧资源时以白蛇之力卸去伤势，表现消耗触发格挡。|没有证据表明咒印会“遮断痛觉”；改用实际具有恢复和蜕皮效果的白蛇之力。|https://naruto.fandom.com/wiki/Power_of_the_White_Snake
Fight Me!|雷光狮子连弹·邀战|雷光狮子连弹|雷光狮子连弹|正式游戏招式名原样采用|核心目录|Lightning Lions Barrage / 雷光獅子連弾|官方游戏招式|以体术、剑术、肘击和膝击组成主动压迫连段。|删除完全来自战士牌名语气的“邀战”，保留佐助实际游戏招式。|https://naruto.fandom.com/wiki/Chidori%3A_Chakra_Blade
Flame Barrier|火遁·豪火球·返炎|火遁·龙火之术|火遁·龙火之术|正式招式名原样采用|核心目录|Fire Release: Dragon Fire Technique / 火遁・龍火の術|原作与官方游戏|以钢丝束缚并沿线引燃，残留火线承担格挡与反击表现。|佐助没有“返炎”；龙火之术的钢丝与持续火焰更准确对应反击屏障。|https://naruto-official.com/en/news/01_2252
Forgotten Ritual|咒印·解封仪式|天之咒印·解放|天之咒印|真实状态表现命名|真实能力|Cursed Seal of Heaven / 天の呪印（解放）|原作状态与能力|在已经舍弃资源后进一步解放咒印查克拉。|佐助启动咒印不需要“仪式”；删除错误动作，只保留真实的解放过程。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
Hemokinesis|千鸟·血祭|咒印·千鸟|咒印状态下的千鸟|原作实战组合命名|核心目录|Curse Mark Chidori / 咒印状态千鸟|原作与官方游戏|以咒印带来的身体负担换取更强千鸟贯穿。|佐助没有血祭千鸟；咒印状态与千鸟的组合有原作和游戏依据。|https://naruto-ultimate-ninja-storm.fandom.com/wiki/Curse_Mark_Chidori
Howl from Beyond|潜影蛇手·蛇群再袭|潜影蛇手·连袭|潜影蛇手|限定时期实战动作命名|动作根目录|Hidden Shadow Snake Hands / 潜影蛇手（连续攻击）|原作角色招式资料|连续放出蛇群缠绕多名目标，并在被舍弃后再次发动。|删除为了照抄“再袭”机制而造出的完整术名，只把“连袭”标为动作描述。|https://naruto.fandom.com/wiki/Hidden_Shadow_Snake_Hands
Infernal Blade|通灵·雷光剑化·瞬装|通灵·雷光剑化|通灵·雷光剑化|正式招式名原样采用|核心目录|Summoning: Lightning Flash Blade Creation / 口寄せ・雷光剣化|原作漫画、动画、资料书|从腕部封印立即召出一种攻击忍具，对应随机攻击牌本回合免费。|“瞬装”是为免费费用造词；正式招式已经准确表达快速召出武器。|https://naruto.fandom.com/wiki/Summoning%3A_Lightning_Flash_Blade_Creation
Inflame|火遁·火炎增幅|天之咒印·状态一|天之咒印·状态一|正式状态名原样采用|核心目录|Cursed Seal of Heaven, State One / 天の呪印・状態一|原作状态与能力|咒印纹路扩散并提高身体能力，对应获得力量。|佐助没有“火炎增幅”；咒印状态一才是该时期真实的基础强化。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
Juggling|操手里剑·三式连携|操手里剑之术|操手里剑之术|正式招式名原样采用|核心目录|Manipulated Shuriken Technique / 操手裏剣の術|原作漫画、动画、资料书|使用钢丝改变手里剑轨迹并连续回收攻击节奏。|“三式”只来自每第三张攻击牌，属于数字硬翻译；改用正式招式。|https://naruto.fandom.com/wiki/Manipulated_Shuriken_Technique
Pillage|操手里剑·牵制换势|机关手里剑·牵引斩|兄弟之战机关手里剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”机关手里剑牵引斩|官方手游实际动作|佐助以钢丝扯回命中的敌人并用草薙剑斩击。|“换势”只是抽牌机制词；新名对应手游实际的投掷、牵引和斩击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Rage|千鸟流·雷衣|千鸟流·护身|千鸟流|限定时期实战动作命名|动作根目录|Chidori Current / 千鳥流し（护身用法）|原作漫画、动画、资料书|攻击后从全身释放千鸟流，逼退近身反击并形成防护。|佐助没有雷遁查克拉模式式的“雷衣”；只描述千鸟流实际可用于护身的方式。|https://naruto.fandom.com/wiki/Chidori_Current
Rampage|草薙剑·千鸟刀·连战|千鸟刀·连续斩击|草薙剑·千鸟刀|限定时期实战动作命名|动作根目录|Sword of Kusanagi: Chidori Katana / 草薙の剣・千鳥刀（连续斩击）|原作漫画、动画、资料书|每次使用后雷遁附刃和斩击节奏进一步强化。|“连战”只描述卡牌成长；改为佐助能实际执行的连续斩击。|https://naruto.fandom.com/wiki/Sword_of_Kusanagi%3A_Chidori_Katana
Rupture|咒印·伤势增幅|天之咒印·反噬|天之咒印|真实状态表现命名|真实能力|Cursed Seal of Heaven / 天の呪印（反噬）|原作状态与能力|咒印以痛苦和身体损耗换取力量，直接对应失去生命后获得力量。|“伤势增幅”像人为施术；改为咒印真实存在的反噬代价。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
Spite|咒印·怨恨追击|咒印·二连追击|天之咒印强化后的体术与剑术|限定时期实战动作命名|动作根目录|咒印强化二连追击（描述性动作）|原作状态与官方手游动作|本回合承受咒印代价后，以强化速度追加第二击。|“怨恨”是剧情情绪，不是动作依据；改成可直接呈现的二连追击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Stomp|千鸟·落雷·震地|千鸟流·震地扩散|千鸟流|限定时期实战动作命名|动作根目录|Chidori Current / 千鳥流し（地面扩散）|原作与官方手游动作|将雷电导入地面形成群体扩散，连续攻击使施术更快。|旧名把两个术名和战士“践踏”动作拼接；改为千鸟流的实际地面扩散。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Stone Armor|蛇蜕·硬化|咒印二·双翼护体|天之咒印·状态二的双翼|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”咒印双翼护体|官方手游实际动作|状态二双翼包覆身体，作为持续性的防护层。|白蛇蜕皮不会让佐助“硬化”；改用已经展示过的双翼护体。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Uppercut|雷光狮子连弹·破势|草薙剑·上挑斩|兄弟之战草薙剑连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”普攻4A上挑斩|官方手游实际动作|瞬身后以草薙剑上挑敌人，配合写轮眼标记虚弱与易伤。|删除为迁就“上勾拳”和易伤机制拼出的后缀，改为实际上挑剑术。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Vicious|写轮眼·弱点追读|写轮眼·破绽追踪|写轮眼的观察与预判能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（破绽追踪）|原作漫画、动画、资料书|每次新的易伤出现时继续追踪目标破绽并获得后续行动信息。|“追读”表达生硬；破绽追踪是对写轮眼连续观察能力的描述。|https://naruto-official.com/en/news/01_1316
Whirlwind|千鸟流·剑刃风暴|千鸟流·全周放电|千鸟流|限定时期实战动作命名|动作根目录|Chidori Current / 千鳥流し（全周放电）|原作漫画、动画、资料书|根据投入能量持续从全身向周围释放雷电。|佐助没有旋转剑刃风暴；千鸟流本来就是全周范围放电。|https://naruto.fandom.com/wiki/Chidori_Current
Aggression|千鸟刀·战法重铸|写轮眼·战斗解析|写轮眼的观察与预判能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（战斗解析）|原作漫画、动画、资料书|每回合重新分析已经见过的攻击方式，使其以更完善的版本回到手牌。|“战法重铸”不是千鸟刀动作；改用写轮眼真实的战斗分析能力。|https://naruto-official.com/en/news/01_1316
Barricade|蛇睨咒缚·防御阵|咒印二·持续翼守|天之咒印·状态二的双翼格挡|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”持续双翼格挡|官方手游实际动作|双翼保持合拢防御，使已经获得的格挡不在回合开始时消失。|蛇睨咒缚用于束缚敌人，不是防御阵；改用手游明确存在的持续翼守。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Cascade|咒印·连锁释放|咒印二·连续猛攻|天之咒印·状态二的强化攻击|限定时期实战动作命名|动作根目录|咒印二连续强化攻击（描述性动作）|原作状态与官方手游动作|消耗多少能量就连续释放多少次咒印强化动作。|“连锁释放”只照搬自动打牌机制；改成状态二实际强化的连续攻击。|https://naruto-official.com/en/news/01_2252
Crimson Mantle|咒印·查克拉外衣|咒印二·翼护|天之咒印·状态二的双翼|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”咒印双翼防护|官方手游实际动作|咒印持续消耗身体，同时双翼在每回合提供防护。|佐助在这一时期没有尾兽式“查克拉外衣”；改成状态二真实双翼。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Dark Embrace|咒印·吞噬回流|白蛇之力·蜕皮|白蛇之力|真实能力表现命名|真实能力|Power of the White Snake / 白蛇の力（蜕皮）|原作漫画、动画与资料设定|每次消耗资源都以蜕皮脱壳的视觉继续抽取行动。|“吞噬回流”不是能力；白蛇之力的蜕皮是限定时期真实表现。|https://naruto.fandom.com/wiki/Power_of_the_White_Snake
Dominate|写轮眼·支配破绽|写轮眼·完全看破|写轮眼的观察、预判与压制能力|真实能力表现命名|真实能力|Sharingan / 写輪眼（完全看破）|原作漫画、动画、资料书|先施加破绽标记，再按目标已有破绽转化为自身优势。|“支配破绽”是机制拼词；完全看破更贴近写轮眼实际分析表现。|https://naruto-official.com/en/news/01_1316
Feed|万蛇·吞噬|通灵之术·万蛇|通灵之术（万蛇）|正式能力名原样采用|核心目录|Summoning Technique: Manda / 口寄せの術・マンダ|原作漫画、动画|佐助召唤并控制万蛇完成高风险脱险；致命成长只保留为卡牌机制。|限定时期万蛇没有替佐助吞食敌人；删除不存在的“吞噬”动作。|https://naruto.fandom.com/wiki/Manda
Fiend Fire|豪龙火·咒印连弹|火遁·豪龙火连弹|火遁·豪龙火之术|原作实战动作命名|核心目录|Fire Release: Great Dragon Fire Technique / 火遁・豪龍火の術（连续发射）|原作漫画、动画、资料书|佐助可连续发射多个龙首火球；每消耗一张手牌对应一发。|删除没有依据的“咒印连弹”拼接；连续豪龙火本身有资料说明。|https://naruto.fandom.com/wiki/Fire_Release%3A_Great_Dragon_Fire_Technique
Hellraiser|草薙剑·千鸟刀·乱舞|瞬身·连续斩击|兄弟之战瞬身剑术连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”连续瞬身斩击|官方手游实际动作|抽到基础打击时自动瞬身斩向目标，形成连续剑术追击。|“乱舞”是泛化招式后缀；改用兄弟之战实际连续瞬身斩。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Impervious|咒印二·双翼防御|咒印二·双翼合拢|天之咒印·状态二的双翼格挡|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”双翼合拢格挡|官方手游实际动作|状态二双翼完全合拢，形成一次高强度防御。|“双翼防御”虽方向正确，但改成来源明确展示的合拢动作，便于动画落实。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Juggernaut|千鸟流·雷铠反震|咒印二·翼守反击|兄弟之战咒印双翼格挡反击|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”翼守后牵引斩反击|官方手游实际动作|双翼格挡成功后，以带钢丝手里剑牵回敌人并斩击。|佐助没有“雷铠”；手游已有完整的翼守反击动作可直接对应格挡触发伤害。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Offering|咒印·禁忌解放|天之咒印·强制释放|天之咒印|真实状态表现命名|真实能力|Cursed Seal of Heaven / 天の呪印（强制释放）|原作状态与能力|强行释放咒印，以大量身体损耗换取查克拉和行动。|“禁忌”是氛围词；强制释放准确描述以生命换资源的过程。|https://naruto.fandom.com/wiki/Cursed_Seal_of_Heaven
One-Two Punch|雷光狮子连弹·二段追击|瞬身·连携追击|兄弟之战瞬身连段|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”瞬身连携追击|官方手游实际动作|先以瞬身调整位置，下一张攻击出现时立即重复追击。|卡牌本身不造成两拳；删除拳术式命名，改为为下一击服务的连携追击。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Pact's End|豪龙火·雷云引动|火遁·豪龙火·雷云引动|豪龙火引动雷云的战术过程|原作战术过程命名|原作战术过程|Great Dragon Fire creating thunderclouds / 豪龍火による雷雲生成|原作漫画、动画、资料书|豪龙火加热空气形成上升气流并引动雷云，为终局群体攻击铺垫。|补全火遁前缀，明确这是原作战术过程而不是独立忍术。|https://naruto.fandom.com/wiki/Fire_Release%3A_Great_Dragon_Fire_Technique
Primal Force|千鸟锐枪·查克拉压缩|雷光剑化·风魔展开|通灵·雷光剑化|限定时期实战动作命名|动作根目录|Summoning: Lightning Flash Blade Creation / 口寄せ・雷光剣化（风魔手里剑展开）|原作漫画、动画、资料书|将手中攻击手段统一换成从腕封印召出的风魔手里剑。|千鸟锐枪不会把攻击“压缩”为巨石；雷光剑化召出大型忍具更符合转化机制。|https://naruto.fandom.com/wiki/Summoning%3A_Lightning_Flash_Blade_Creation
Pyre|豪龙火·雷云蓄势|火遁·豪龙火·雷云蓄势|豪龙火引动雷云的战术过程|原作战术过程命名|原作战术过程|Great Dragon Fire creating thunderclouds / 豪龍火による雷雲生成|原作漫画、动画、资料书|持续以豪龙火积累热量和雷云，表现每回合增加能量。|补全火遁前缀并标明它是麒麟前置战术，不冒充独立招式。|https://naruto.fandom.com/wiki/Fire_Release%3A_Great_Dragon_Fire_Technique
Stoke|火遁·豪火球·炉心重铸|雷光剑化·忍具换装|通灵·雷光剑化|限定时期实战动作命名|动作根目录|Summoning: Lightning Flash Blade Creation / 口寄せ・雷光剣化（忍具换装）|原作漫画、动画、资料书|舍弃当前手牌后，从腕封印重新召出一组普通忍具。|佐助没有炉心或重铸能力；改成真实存在的忍具存取与换装。|https://naruto.fandom.com/wiki/Summoning%3A_Lightning_Flash_Blade_Creation
Thrash|千鸟刀·吞式|蛇缚·千鸟贯穿|兄弟之战咒印蛇缚接千鸟|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”蛇缚抛投接千鸟贯穿|官方手游实际动作|咒印状态先用蛇缠住并抛起敌人，再以千鸟贯穿收尾。|千鸟刀不会“吞”掉另一招；手游已有把束缚与千鸟合成连段的真实动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Unmovable|咒印二·翼盾|咒印二·稳固翼守|天之咒印·状态二的双翼格挡|官方手游实战动作命名|官方手游动作|《火影忍者》手游“兄弟之战”持续双翼格挡|官方手游实际动作|首次获得格挡时稳定展开双翼，使这次防御效果翻倍。|“翼盾”容易被理解成正式术名；改成明确的防御动作标签。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Blaze|火遁·查克拉传递|写轮眼·战机指示|写轮眼观察与Hebi协同|团队战术动作命名|团队战术|Sharingan tactical guidance / 写輪眼による战机指示|原作能力与团队战术推理|佐助以写轮眼发现战机并指示队友进攻，对应给予队友力量。|限定时期佐助不会用火遁给同伴传递查克拉；改成由真实观察能力推导的团队指挥。|https://naruto-official.com/en/news/01_1316
Demonic Shield|咒印二·翼盾转护|咒印二·双翼援护|天之咒印·状态二的双翼格挡|团队实战动作命名|团队动作|咒印二双翼援护（描述性团队动作）|官方手游动作与多人战术推理|以自身受损为代价展开双翼替同伴承受攻击。|删除像技能系统词的“转护”，改为双翼实际可完成的援护动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Outrage|操手里剑·共鸣散射|操手里剑之术·飞散|操手里剑之术与机关手里剑|官方手游实战动作命名|官方手游动作|Manipulated Shuriken Technique / 操手裏剣の術（飞散动作）|原作与官方手游动作|以钢丝控制机关手里剑向周围飞散，使各玩家获得同一攻击的复制。|佐助没有“共鸣”手里剑；飞散是手游明确展示的钢丝操控动作。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Tank|咒印二·双翼庇护|咒印二·翼下庇护|天之咒印·状态二的双翼格挡|团队实战动作命名|团队动作|咒印二翼下庇护（描述性团队动作）|官方手游动作与多人战术推理|佐助用双翼遮挡队友，使自身承受更多风险而队友减伤。|明确“翼下”空间关系，使团队保护动作可画、可演，不把它当正式忍术。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
Giant Rock|千鸟锐枪·贯穿|风魔手里剑|通灵·雷光剑化召出的风魔手里剑|正式忍具名原样采用|核心目录|Fūma Shuriken / 風魔手裏剣|原作漫画、动画与官方手游|由雷光剑化展开后召出大型风魔手里剑，作为高伤害衍生牌。|该衍生牌来自忍具转化，不应继续伪装成千鸟锐枪；风魔手里剑能直接对应生成物。|https://www.taptap.cn/moment/822559668973863702?group_id=1066
